id,num_venues,scores
25,50,173.82
26,50,58.82
27,50,55.36
20,50,203.02
21,50,17.82
22,50,80.84
23,50,23.16
28,50,42.84
29,50,62.82
6,50,108.02
9,50,29.56
8,50,173.52
Pfingstweidstr.,0,0
11,50,130.14
10,50,158.62
13,50,38.16
12,50,131.64
15,50,37.54
14,50,47.94
17,50,1400.58
16,50,1349.3
19,50,459.32
18,50,28.78
31,50,442.28
30,50,46.8
35,50,35.48
34,50,62.58
32,50,254.96
