id,num_venues,scores
25,50,1.5533310321
26,50,2.72016320979
27,50,1.8063583815
20,50,0.985124618264
21,50,6.73400673401
22,50,3.09252845126
23,50,4.31778929188
28,50,3.50140056022
29,50,4.61636421522
6,50,3.70301795964
9,50,3.38294993234
8,50,1.84416781927
11,50,1.45996619026
10,50,2.14348758038
13,50,2.62054507338
12,50,1.74718930416
15,50,2.66382525306
14,50,2.08594075928
17,50,0.178497479616
16,50,0.140813755281
19,50,0.413654968214
18,50,3.82209867964
31,50,0.248711223659
30,50,1.7094017094
35,50,3.38218714769
34,50,1.91754554171
32,50,1.33354251647
